datetime,serial_number_of_system_during_year,basin_of_origin,name,date_dd-mm-yyyy,time-utc,lat,long,ci_no,estimated_central_pressure_hPa,maximum_sustained_surface_wind_kt,pressure_drop_hPa,grade,flow,basin_at_time,data_type
5/16/2020 0:00,1,BOB,AMPHAN,16-05-2020,0,10.4,87,1.5,1000,25,3,D,O2L,BoB,BT
5/16/2020 0:30,1,BOB,AMPHAN,16-05-2020,30,10.5,86.9,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 1:00,1,BOB,AMPHAN,16-05-2020,100,10.5,86.8,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 1:30,1,BOB,AMPHAN,16-05-2020,130,10.6,86.7,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 2:00,1,BOB,AMPHAN,16-05-2020,200,10.6,86.6,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 2:30,1,BOB,AMPHAN,16-05-2020,230,10.7,86.6,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 3:00,1,BOB,AMPHAN,16-05-2020,300,10.7,86.5,1.5,1000,25,3,D,O2L,BoB,BT
5/16/2020 3:30,1,BOB,AMPHAN,16-05-2020,330,10.7,86.5,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 4:00,1,BOB,AMPHAN,16-05-2020,400,10.8,86.4,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 4:30,1,BOB,AMPHAN,16-05-2020,430,10.8,86.4,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 5:00,1,BOB,AMPHAN,16-05-2020,500,10.9,86.3,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 5:30,1,BOB,AMPHAN,16-05-2020,530,10.9,86.3,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 6:00,1,BOB,AMPHAN,16-05-2020,600,10.9,86.3,1.5,1000,25,3,D,O2L,BoB,BT
5/16/2020 6:30,1,BOB,AMPHAN,16-05-2020,630,10.9,86.3,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 7:00,1,BOB,AMPHAN,16-05-2020,700,10.9,86.3,1.5,1000,25,3,D,O2L,BoB,IPL
5/16/2020 7:30,1,BOB,AMPHAN,16-05-2020,730,10.9,86.3,1.5,999,25,4,D,O2L,BoB,IPL
5/16/2020 8:00,1,BOB,AMPHAN,16-05-2020,800,10.9,86.3,2,999,30,4,DD,O2L,BoB,IPL
5/16/2020 8:30,1,BOB,AMPHAN,16-05-2020,830,10.9,86.3,2,998,30,5,DD,O2L,BoB,IPL
5/16/2020 9:00,1,BOB,AMPHAN,16-05-2020,900,10.9,86.3,2,998,30,5,DD,O2L,BoB,BT
5/16/2020 9:30,1,BOB,AMPHAN,16-05-2020,930,10.9,86.3,2,998,30,5,DD,O2L,BoB,IPL
5/16/2020 10:00,1,BOB,AMPHAN,16-05-2020,1000,10.9,86.3,2,997,30,6,DD,O2L,BoB,IPL
5/16/2020 10:30,1,BOB,AMPHAN,16-05-2020,1030,10.9,86.3,2.5,997,30,6,DD,O2L,BoB,IPL
5/16/2020 11:00,1,BOB,AMPHAN,16-05-2020,1100,10.9,86.3,2.5,997,35,6,CS,O2L,BoB,IPL
5/16/2020 11:30,1,BOB,AMPHAN,16-05-2020,1130,10.9,86.3,2.5,996,35,7,CS,O2L,BoB,IPL
5/16/2020 12:00,1,BOB,AMPHAN,16-05-2020,1200,10.9,86.3,2.5,996,35,7,CS,O2L,BoB,BT
5/16/2020 12:30,1,BOB,AMPHAN,16-05-2020,1230,10.9,86.3,2.5,996,35,7,CS,O2L,BoB,IPL
5/16/2020 13:00,1,BOB,AMPHAN,16-05-2020,1300,10.9,86.3,2.5,996,35,7,CS,O2L,BoB,IPL
5/16/2020 13:30,1,BOB,AMPHAN,16-05-2020,1330,10.9,86.3,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 14:00,1,BOB,AMPHAN,16-05-2020,1400,11,86.2,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 14:30,1,BOB,AMPHAN,16-05-2020,1430,11,86.2,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 15:00,1,BOB,AMPHAN,16-05-2020,1500,11,86.2,2.5,995,40,8,CS,O2L,BoB,BT
5/16/2020 15:30,1,BOB,AMPHAN,16-05-2020,1530,11,86.2,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 16:00,1,BOB,AMPHAN,16-05-2020,1600,11,86.2,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 16:30,1,BOB,AMPHAN,16-05-2020,1630,11,86.1,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 17:00,1,BOB,AMPHAN,16-05-2020,1700,11.1,86.1,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 17:30,1,BOB,AMPHAN,16-05-2020,1730,11.1,86.1,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 18:00,1,BOB,AMPHAN,16-05-2020,1800,11.1,86.1,2.5,995,40,8,CS,O2L,BoB,BT
5/16/2020 18:30,1,BOB,AMPHAN,16-05-2020,1830,11.1,86.1,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 19:00,1,BOB,AMPHAN,16-05-2020,1900,11.2,86.1,2.5,995,40,8,CS,O2L,BoB,IPL
5/16/2020 19:30,1,BOB,AMPHAN,16-05-2020,1930,11.2,86.1,3,995,40,9,CS,O2L,BoB,IPL
5/16/2020 20:00,1,BOB,AMPHAN,16-05-2020,2000,11.2,86.1,3,994,45,9,CS,O2L,BoB,IPL
5/16/2020 20:30,1,BOB,AMPHAN,16-05-2020,2030,11.3,86.1,3,994,45,10,CS,O2L,BoB,IPL
5/16/2020 21:00,1,BOB,AMPHAN,16-05-2020,2100,11.3,86.1,3,994,45,10,CS,O2L,BoB,BT
5/16/2020 21:30,1,BOB,AMPHAN,16-05-2020,2130,11.3,86.1,3,994,45,10,CS,O2L,BoB,IPL
5/16/2020 22:00,1,BOB,AMPHAN,16-05-2020,2200,11.3,86.1,3,994,45,10,CS,O2L,BoB,IPL
5/16/2020 22:30,1,BOB,AMPHAN,16-05-2020,2230,11.4,86,3,994,45,11,CS,O2L,BoB,IPL
5/16/2020 23:00,1,BOB,AMPHAN,16-05-2020,2300,11.4,86,3,993,45,11,CS,O2L,BoB,IPL
5/16/2020 23:30,1,BOB,AMPHAN,16-05-2020,2330,11.4,86,3,993,45,11,CS,O2L,BoB,IPL
5/17/2020 0:00,1,BOB,AMPHAN,17-05-2020,0,11.4,86,3,993,45,11,CS,O2L,BoB,BT
5/17/2020 0:30,1,BOB,AMPHAN,17-05-2020,30,11.4,86,3,993,45,11,CS,O2L,BoB,IPL
5/17/2020 1:00,1,BOB,AMPHAN,17-05-2020,100,11.4,86,3,992,45,11,CS,O2L,BoB,IPL
5/17/2020 1:30,1,BOB,AMPHAN,17-05-2020,130,11.4,86,3,992,45,11,CS,O2L,BoB,IPL
5/17/2020 2:00,1,BOB,AMPHAN,17-05-2020,200,11.4,86,3,991,50,12,SCS,O2L,BoB,IPL
5/17/2020 2:30,1,BOB,AMPHAN,17-05-2020,230,11.4,86,3,990,50,12,SCS,O2L,BoB,IPL
5/17/2020 3:00,1,BOB,AMPHAN,17-05-2020,300,11.4,86,3,990,50,12,SCS,O2L,BoB,BT
5/17/2020 3:30,1,BOB,AMPHAN,17-05-2020,330,11.4,86,3,990,50,12,SCS,O2L,BoB,IPL
5/17/2020 4:00,1,BOB,AMPHAN,17-05-2020,400,11.4,86,3,989,50,13,SCS,O2L,BoB,IPL
5/17/2020 4:30,1,BOB,AMPHAN,17-05-2020,430,11.4,86,3,989,50,13,SCS,O2L,BoB,IPL
5/17/2020 5:00,1,BOB,AMPHAN,17-05-2020,500,11.5,86,3.5,989,55,14,SCS,O2L,BoB,IPL
5/17/2020 5:30,1,BOB,AMPHAN,17-05-2020,530,11.5,86,3.5,988,55,14,SCS,O2L,BoB,IPL
5/17/2020 6:00,1,BOB,AMPHAN,17-05-2020,600,11.5,86,3.5,988,55,15,SCS,O2L,BoB,BT
5/17/2020 6:30,1,BOB,AMPHAN,17-05-2020,630,11.5,86,3.5,987,55,16,SCS,O2L,BoB,IPL
5/17/2020 7:00,1,BOB,AMPHAN,17-05-2020,700,11.6,86,3.5,986,60,17,SCS,O2L,BoB,IPL
5/17/2020 7:30,1,BOB,AMPHAN,17-05-2020,730,11.6,86,4,984,60,19,SCS,O2L,BoB,IPL
5/17/2020 8:00,1,BOB,AMPHAN,17-05-2020,800,11.6,86,4,982,60,20,SCS,O2L,BoB,IPL
5/17/2020 8:30,1,BOB,AMPHAN,17-05-2020,830,11.7,86,4,981,65,21,VSCS,O2L,BoB,IPL
5/17/2020 9:00,1,BOB,AMPHAN,17-05-2020,900,11.7,86,4,980,65,22,VSCS,O2L,BoB,BT
5/17/2020 9:30,1,BOB,AMPHAN,17-05-2020,930,11.7,86,4,980,65,23,VSCS,O2L,BoB,IPL
5/17/2020 10:00,1,BOB,AMPHAN,17-05-2020,1000,11.8,86,4,979,65,23,VSCS,O2L,BoB,IPL
5/17/2020 10:30,1,BOB,AMPHAN,17-05-2020,1030,11.8,86,4,979,70,24,VSCS,O2L,BoB,IPL
5/17/2020 11:00,1,BOB,AMPHAN,17-05-2020,1100,11.9,86,4,979,70,24,VSCS,O2L,BoB,IPL
5/17/2020 11:30,1,BOB,AMPHAN,17-05-2020,1130,11.9,86,4,978,70,25,VSCS,O2L,BoB,IPL
5/17/2020 12:00,1,BOB,AMPHAN,17-05-2020,1200,12,86,4,978,70,25,VSCS,O2L,BoB,BT
5/17/2020 12:30,1,BOB,AMPHAN,17-05-2020,1230,12.1,86,4,977,70,25,VSCS,O2L,BoB,IPL
5/17/2020 13:00,1,BOB,AMPHAN,17-05-2020,1300,12.3,86.1,4,976,70,26,VSCS,O2L,BoB,IPL
5/17/2020 13:30,1,BOB,AMPHAN,17-05-2020,1330,12.5,86.1,4,975,70,26,VSCS,O2L,BoB,IPL
5/17/2020 14:00,1,BOB,AMPHAN,17-05-2020,1400,12.6,86.1,4.5,974,75,27,VSCS,O2L,BoB,IPL
5/17/2020 14:30,1,BOB,AMPHAN,17-05-2020,1430,12.8,86.2,4.5,973,75,27,VSCS,O2L,BoB,IPL
5/17/2020 15:00,1,BOB,AMPHAN,17-05-2020,1500,12.8,86.2,4.5,972,75,28,VSCS,O2L,BoB,BT
5/17/2020 15:30,1,BOB,AMPHAN,17-05-2020,1530,12.8,86.2,4.5,972,75,29,VSCS,O2L,BoB,IPL
