serialnumberofsystemduringyear,basinoforigin,name,date-dd-mm-yyyy,time-utc,latitude-lat,longitude-long,cinoorornot,estimatedcentralpressurehpaorecp,maximumsustainedsurfacewind-kt,pressuredrophpaorealdelta,grade-text
1,BOB,,27/3/2000,1200, 7.5,90.0,1.5,1004, 25, 4,D
1,BOB,,27/3/2000,1800, 8.5,89.0,1.5,1006, 25, 4,D
1,BOB,,28/3/2000,0000, 9.5,89.0,1.5,1004, 25, 4,D
1,BOB,,28/3/2000,0300,10.0,88.5,1.5,1006, 25, 4,D
1,BOB,,28/3/2000,1200,12.0,88.0,1.5,1004, 25, 4,D
1,BOB,,28/3/2000,1800,12.0,88.0,1.5,1004, 25, 4,D
1,BOB,,29/3/2000,0000,12.5,88.0,1.5,1004, 25, 4,D
1,BOB,,29/3/2000,0300,13.0,88.0,2.0,1002, 30, 6,DD
1,BOB,,29/3/2000,0600,13.5,88.0,2.0,1002, 30, 6,DD
1,BOB,,29/3/2000,1200,14.0,88.5,2.5, 998, 35, 8,CS
1,BOB,,29/3/2000,1500,14.5,89.0,2.5,1000, 35, 8,CS
1,BOB,,29/3/2000,1800,15.0,89.5,2.5,1000, 35, 8,CS
1,BOB,,29/3/2000,2100,15.0,89.5,3.0,1000, 45,10,CS
1,BOB,,30/3/2000,0000,15.0,89.5,3.0, 998, 45,10,CS
1,BOB,,30/3/2000,0300,15.5,90.0,3.0, 998, 45,10,CS
1,BOB,,30/3/2000,0600,15.5,90.0,2.5,1000, 35, 8,CS
1,BOB,,30/3/2000,0900,15.0,90.0,2.0,1000, 30, 6,DD
1,BOB,,30/3/2000,1200,16.0,90.5,1.5,1002, 25, 4,D
,SYSTEM WEAKENED OVER EAST CENTRAL BAY OF BENGAL IN THE AFTERNOON OF 30 MARCH 2000.,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,BOB,,23/8/2000,0300,16.5,83.5,1.5, 994, 25, 4,D
2,BOB,,23/8/2000,0600,16.5,83.0,1.5, 996, 25, 4,D
2,BOB,,23/8/2000,1200,16.5,82.5,1.5, 994, 25, 4,D
2,BOB,,23/8/2000,1800,17.5,82.0,1.5, 996, 25, 4,D
2,BOB,,24/8/2000,0000,18.0,79.5,1.5, 996, 25, 4,D
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,BOB,,15/10/2000,0000,14.5,88.5,1.5,1004, 25, 4,D
3,BOB,,15/10/2000,0300,14.5,88.5,1.5,1004, 25, 4,D
3,BOB,,15/10/2000,0600,14.5,88.0,1.5,1002, 25, 4,D
3,BOB,,15/10/2000,1200,14.5,87.0,1.5,1000, 25, 4,D
3,BOB,,15/10/2000,1800,14.5,86.5,2.0,1002, 30, 6,DD
3,BOB,,16/10/2000,0000,14.5,86.3,2.0,1000, 30, 6,DD
3,BOB,,16/10/2000,0300,14.5,86.0,2.0,1000, 30, 8,DD
3,BOB,,16/10/2000,0600,14.5,85.5,2.0,1000, 30, 8,DD
3,BOB,,16/10/2000,1200,14.5,85.0,2.0, 998, 30, 8,DD
3,BOB,,16/10/2000,1800,14.0,85.0,2.0,1000, 30, 8,DD
3,BOB,,17/10/2000,0000,14.0,84.5,2.5, 998, 35, 8,CS
3,BOB,,17/10/2000,0300,14.0,84.5,2.5, 998, 35, 8,CS
3,BOB,,17/10/2000,0600,14.0,84.5,2.5, 996, 35,10,CS
3,BOB,,17/10/2000,0900,14.0,84.0,2.5, 996, 35,10,CS
3,BOB,,17/10/2000,1200,14.0,84.0,2.5, 996, 35, 8,CS
3,BOB,,17/10/2000,1500,14.0,84.0,2.5, 998, 35, 8,CS
3,BOB,,17/10/2000,1800,14.0,84.0,2.5, 998, 35, 8,CS
3,BOB,,17/10/2000,2100,14.0,84.0,2.5, 998, 35, 8,CS
3,BOB,,18/10/2000,0000,14.5,83.5,2.5, 998, 35, 8,CS
3,BOB,,18/10/2000,0300,14.0,83.5,2.0,1000, 30, 6,DD
3,BOB,,18/10/2000,0600,14.0,83.5,2.0,1000, 30, 6,DD
3,BOB,,18/10/2000,1200,14.0,83.0,2.0, 998, 30, 6,DD
3,BOB,,18/10/2000,1800,14.5,82.5,1.5,1000, 25, 4,D
3,BOB,,19/10/2000,0300,14.5,82.0,1.5,1004, 25, 4,D
3,BOB,,19/10/2000,0600,14.5,82.0,1.5,1004, 25, 4,D
,WEAKENED INTO A LOW PRESSURE AREA OVER SEA,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,BOB,,25/10/2000,0900,13.5,93.0,1.5,1002, 25, 4,D
4,BOB,,25/10/2000,1200,14.0,92.5,1.5,1002, 25, 4,D
4,BOB,,25/10/2000,1800,14.5,92.0,1.5,1002, 25, 4,D
4,BOB,,26/10/2000,0000,15.0,91.5,1.5,1002, 25, 4,D
4,BOB,,26/10/2000,0300,15.5,90.5,1.5,1004, 25, 4,D
4,BOB,,26/10/2000,0600,16.5,90.5,1.5,1002, 25, 4,D
4,BOB,,26/10/2000,1200,16.5,89.5,1.5,1002, 25, 4,D
4,BOB,,26/10/2000,1800,17.0,89.0,1.5,1004, 25, 4,D
4,BOB,,27/10/2000,0000,17.5,88.5,1.5,1002, 25, 4,D
4,BOB,,27/10/2000,0300,18.0,88.5,2.0,1002, 30, 6,DD
4,BOB,,27/10/2000,0600,18.5,88.5,2.0,1002, 30, 6,DD
4,BOB,,27/10/2000,1200,19.0,88.5,2.0,1000, 30, 6,DD
4,BOB,,27/10/2000,1800,20.5,88.5,2.5, 998, 35, 8,CS
4,BOB,,27/10/2000,2100,21.0,88.5,2.5, 998, 35, 8,CS
4,BOB,,28/10/2000,0000,21.5,89.0,2.5, 998, 35, 8,CS
,CROSSED BANGLADESH COAST NEAR MONGLA BETWEEN 01 UTC AND 03 UTC.,,,,,,,,,,
4,BOB,,28/10/2000,0300,22.5,89.0,,    , 30, 6,DD
4,BOB,,28/10/2000,0600,23.0,89.5,,    , 30, 6,DD
4,BOB,,28/10/2000,1200,23.5,90.5,,    , 25, 4,D
4,BOB,,28/10/2000,1800,24.0,93.0,,    , 25, 4,D
4,BOB,,29/10/2000,0000,24.0,94.0,,    , 25, 4,D
,WEAKENED INTO A WELL MARKED LOW PRESSURE AREA OVER BANGLADESH ,,,,,,,,,,
,AND ADJOINING ASSAM AND MEGHALAYA,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,BOB,,26/11/2000,0300, 8.5,91.5,1.5,1004, 25, 4,D
5,BOB,,26/11/2000,0600, 9.5,90.5,1.5,1004, 25, 4,D
5,BOB,,26/11/2000,0900, 9.5,91.0,1.5,1004, 25, 4,D
5,BOB,,26/11/2000,1200,10.0,89.5,1.5,1004, 25, 4,D
5,BOB,,26/11/2000,1500,10.0,90.0,2.0,1004, 30, 6,DD
5,BOB,,26/11/2000,1800,10.0,90.0,2.0,1002, 30, 6,DD
5,BOB,,27/11/2000,0000,10.5,88.0,2.0,1002, 30, 6,DD
5,BOB,,27/11/2000,0300,11.0,87.5,2.0,1004, 30, 6,DD
5,BOB,,27/11/2000,0600,11.0,87.0,2.0,1002, 30, 8,DD
5,BOB,,27/11/2000,0900,11.0,86.5,2.5, 998, 35,10,CS
5,BOB,,27/11/2000,1200,11.0,86.0,3.0, 998, 45,10,CS
5,BOB,,27/11/2000,1500,11.0,85.5,3.0, 998, 45,10,CS
5,BOB,,27/11/2000,1800,11.0,85.0,3.0, 998, 45,10,CS
5,BOB,,27/11/2000,2100,11.0,84.5,3.0, 998, 45,10,CS
5,BOB,,28/11/2000,0000,11.5,84.0,3.5, 992, 55,15,SCS
5,BOB,,28/11/2000,0300,11.5,83.5,3.5, 992, 55,15,SCS
5,BOB,,28/11/2000,0600,11.5,83.0,4.0, 986, 65,20,VSCS
5,BOB,,28/11/2000,0900,11.5,82.5,4.0, 986, 65,20,VSCS
5,BOB,,28/11/2000,1200,11.5,82.0,4.5, 978, 77,30,VSCS
5,BOB,,28/11/2000,1500,11.5,81.8,5.0, 968, 90,40,ESCS
5,BOB,,28/11/2000,1800,11.5,81.5,5.5, 958,102,52,ESCS
5,BOB,,28/11/2000,2100,11.5,81.2,5.5, 958,102,52,ESCS
5,BOB,,29/11/2000,0000,11.5,81.0,5.0, 968, 90,40,ESCS
5,BOB,,29/11/2000,0300,11.5,80.5,5.0, 966, 90,40,ESCS
5,BOB,,29/11/2000,0600,11.5,80.5,4.5, 976, 77,30,VSCS
5,BOB,,29/11/2000,0900,11.5,80.0,4.5, 976, 77,30,VSCS
,CROSSED TAMIL NADU COAST NEAR CUDDALORE AROUND 1130 UTC,,,,,,,,,,
5,BOB,,29/11/2000,1200,11.5,80.0,, 998, 55,10,SCS
5,BOB,,29/11/2000,1800,11.0,78.5,, 998, 45,10,CS
5,BOB,,30/11/2000,0300,11.5,78.0,,1002, 30, 4,DD
5,BOB,,30/11/2000,0600,11.5,77.0,,1004, 25, 2,D
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,BOB,,23/12/2000,0300, 8.0,86.0,1.5,1006, 25, 4,D
6,BOB,,23/12/2000,0600, 8.0,86.0,1.5,1006, 25, 4,D
6,BOB,,23/12/2000,1200, 8.0,85.0,1.5,1006, 25, 4,D
6,BOB,,23/12/2000,1800, 8.0,84.5,1.5,1006, 25, 4,D
6,BOB,,24/12/2000,0000, 8.0,84.0,2.0,1004, 30, 6,DD
6,BOB,,24/12/2000,0300, 8.5,84.0,2.0,1004, 30, 6,DD
6,BOB,,24/12/2000,0600, 8.5,84.0,2.0,1004, 30, 6,DD
6,BOB,,24/12/2000,1200, 8.5,83.5,2.0,1004, 30, 6,DD
6,BOB,,24/12/2000,1800, 8.5,83.5,2.0,1004, 30, 6,DD
6,BOB,,25/12/2000,0000, 8.5,83.0,2.5,1004, 30, 6,DD
6,BOB,,25/12/2000,0300, 8.5,83.0,2.5,1004, 35, 6,CS
6,BOB,,25/12/2000,0600, 8.5,83.0,3.0,1000, 45,10,CS
6,BOB,,25/12/2000,1200, 8.5,83.0,3.5, 994, 55,16,SCS
6,BOB,,25/12/2000,1800, 8.5,83.0,4.0, 990, 65,20,VSCS
6,BOB,,26/12/2000,0000, 8.5,82.5,4.0, 990, 65,20,VSCS
6,BOB,,26/12/2000,0300, 8.5,82.5,4.0, 990, 65,20,VSCS
6,BOB,,26/12/2000,0600, 8.5,82.0,4.5, 982, 77,30,VSCS
6,BOB,,26/12/2000,0900, 8.5,81.5,4.5, 982, 77,28,VSCS
6,BOB,,26/12/2000,1200, 8.5,81.0,5.0, 970, 90,40,ESCS
,FIRST LANDFALL NEAR TRINCOMALEE (43418) AROUND 261200 UTC.,,,,,,,,,,
6,BOB,,26/12/2000,1500, 8.5,81.0,5.0, 970, 90,40,ESCS
6,BOB,,26/12/2000,1800, 8.5,81.0,4.5, 982, 77,30,VSCS
6,BOB,,26/12/2000,2100, 8.5,81.0,4.5, 982, 77,28,VSCS
6,BOB,,27/12/2000,0000, 8.5,81.0,4.5, 984, 77,28,VSCS
6,BOB,,27/12/2000,0300, 8.5,80.0,4.0, 986, 77,24,VSCS
6,BOB,,27/12/2000,0600, 8.5,79.5,4.0, 986, 77,24,VSCS
6,BOB,,27/12/2000,0900, 8.5,79.0,4.0, 988, 77,22,VSCS
6,BOB,,27/12/2000,1200, 8.5,78.5,3.5, 990, 65,20,SCS
6,BOB,,27/12/2000,1500, 8.5,78.5,3.5, 996, 55,16,SCS
6,BOB,,27/12/2000,1800, 8.5,78.5,3.5, 998, 55,14,SCS
6,BOB,,27/12/2000,2100, 8.5,78.0,3.0,1002, 55,10,CS
,2ND LANDFALL SOUTH OF TUTICORIN (43379) ON EARLY MORNING HOURS OF 28 DECEMBER,,,,,,,,,,
6,BOB,,28/12/2000,0000, 8.5,77.5,2.5,1004, 35, 8,CS
6,BOB,,28/12/2000,0300, 8.5,77.5,2.5,1004, 35, 8,CS
6,BOB,,28/12/2000,0600, 8.5,77.0,2.0,1004, 30, 6,DD
6,BOB,,28/12/2000,1200, 9.0,76.5,1.5,1006, 25, 4,D
6,BOB,,29/12/2000,0000, 9.0,75.5,1.0,1002,   ,,L
1,ARB,,21/5/2001,1200,13.5,69.0,1.5,1000, 25, 4,D
1,ARB,,21/5/2001,1800,13.5,70.0,1.5,1000, 25, 4,D
1,ARB,,21/5/2001,2100,13.5,70.0,2.0, 998, 30, 6,DD
1,ARB,,22/5/2001,0000,14.0,71.0,2.0, 998, 30, 6,DD
1,ARB,,22/5/2001,0300,14.0,71.5,2.5, 996, 40, 8,CS
1,ARB,,22/5/2001,0600,14.0,71.5,3.0, 996, 45,10,CS
1,ARB,,22/5/2001,0900,14.0,71.5,3.0, 994, 45,10,CS
1,ARB,,22/5/2001,1200,14.0,71.5,3.0, 992, 45,12,CS
1,ARB,,22/5/2001,1500,14.0,71.5,3.5, 990, 55,14,SCS
1,ARB,,22/5/2001,1800,14.0,71.5,3.5, 988, 55,16,SCS
1,ARB,,22/5/2001,2100,14.5,71.5,4.0, 982, 65,22,VSCS
1,ARB,,23/5/2001,0000,14.5,71.5,4.0, 980, 65,22,VSCS
1,ARB,,23/5/2001,0300,15.0,71.5,4.5, 974, 77,30,VSCS
1,ARB,,23/5/2001,0600,15.5,71.0,5.0, 964, 90,40,ESCS
1,ARB,,23/5/2001,0900,16.0,71.0,5.0, 962, 90,40,ESCS
1,ARB,,23/5/2001,1200,16.0,70.5,5.0, 960, 90,40,ESCS
